iter	Logloss
0	0.6018150852
1	0.5020758438
2	0.4472471238
3	0.4028689321
4	0.367473419
5	0.339784686
6	0.3121210726
7	0.2917499911
8	0.2749039632
9	0.2575190136
10	0.2473691037
11	0.2377533048
12	0.2279311239
13	0.2212510602
14	0.210035704
15	0.2025732187
16	0.194230044
17	0.1877937138
18	0.1832380234
19	0.1797365326
20	0.1766269443
21	0.17248336
22	0.1681075466
23	0.1659676536
24	0.1636304666
25	0.161529673
26	0.159123274
27	0.1572188106
28	0.1557160614
29	0.1541992539
30	0.1527116823
31	0.1511749909
32	0.149515478
33	0.1482198686
34	0.1447921652
35	0.1437618321
36	0.1428307216
37	0.1418334806
38	0.1405886071
39	0.1393058622
40	0.138538354
41	0.1375508589
42	0.1359834777
43	0.1347066385
44	0.1327071261
45	0.1316579572
46	0.1304422002
47	0.1299834799
48	0.1295420456
49	0.1290790495
50	0.1285283704
51	0.1280240843
52	0.1272416842
53	0.1265524721
54	0.1258799464
55	0.1248606771
56	0.1242195565
57	0.1240464442
58	0.1227505072
59	0.1219310499
60	0.1214669164
61	0.1209628506
62	0.1204269745
63	0.1197951338
64	0.1188689393
65	0.1179640829
66	0.1175382046
67	0.1170936016
68	0.1167482203
69	0.1164255908
70	0.1161022459
71	0.1154265627
72	0.1143861852
73	0.1141024545
74	0.1138525295
75	0.1134942899
76	0.1132630026
77	0.1129337419
78	0.1123691909
79	0.1120446273
80	0.1117097679
81	0.1108358284
82	0.1102778916
83	0.1099571755
84	0.1098576608
85	0.1092686077
86	0.1090127444
87	0.1087985193
88	0.1081520019
89	0.1079692248
90	0.1077513264
91	0.1075282695
92	0.1071404763
93	0.1070247147
94	0.1068191316
95	0.1064460932
96	0.105930142
97	0.1056715671
98	0.1054189567
99	0.1051351589
100	0.1047667569
101	0.1044767271
102	0.1041726025
103	0.1039211701
104	0.1034242613
105	0.1032076137
106	0.1030339696
107	0.1025609612
108	0.1022939256
109	0.1021189748
110	0.1017957503
111	0.1015855115
112	0.1011750742
113	0.100875808
114	0.1006958834
115	0.100564848
116	0.1003041987
117	0.1000929472
118	0.09991723173
119	0.09958887288
120	0.09921654074
121	0.09913558878
122	0.09904899308
123	0.09889762781
124	0.09878132104
125	0.09821758292
126	0.09799576134
127	0.09754570044
128	0.09739652133
129	0.09714969401
130	0.09695987464
131	0.09681702511
132	0.09666538061
133	0.09659341446
134	0.09652893294
135	0.0963291633
136	0.09623243831
137	0.09602696615
138	0.09577156943
139	0.09565173863
140	0.09545653393
141	0.09528100976
142	0.09517537175
143	0.09507355772
144	0.09483078193
145	0.09478786783
146	0.09421547709
147	0.09409608491
148	0.09391819762
149	0.09377268966
150	0.09367943623
151	0.093416094
152	0.09308040994
153	0.09300788582
154	0.09281061503
155	0.09263198794
156	0.09244311069
157	0.09235950804
158	0.09225543281
159	0.09218739187
160	0.09207763844
161	0.09200003614
162	0.09189867542
163	0.09177268808
164	0.09164328766
165	0.09114860042
166	0.0909946846
167	0.0909357765
168	0.09083111863
169	0.09065770456
170	0.09056575261
171	0.09048689814
172	0.09031709511
173	0.09013607149
174	0.09000455909
175	0.08992545366
176	0.08983792124
177	0.08977810564
178	0.08958713832
179	0.08947436911
180	0.08942241356
181	0.08933685522
182	0.08923881202
183	0.0891403468
184	0.08907578428
185	0.08873652993
186	0.08869253489
187	0.08851837643
188	0.08806425031
189	0.08779159257
190	0.08756521376
191	0.08736748987
192	0.0872981059
193	0.08715247768
194	0.08703394734
195	0.08681012917
196	0.08673768083
197	0.08661660857
198	0.08649269384
199	0.08640607957
200	0.0863153626
201	0.08625650743
202	0.0861893027
203	0.08585190416
204	0.08575022698
205	0.08567502855
206	0.08556978242
207	0.08552532269
208	0.08538611202
