iter	Passed	Remaining
0	0	40
1	1	37
2	2	39
3	3	39
4	4	36
5	4	35
6	5	34
7	6	35
8	7	34
9	8	34
10	9	33
11	10	32
12	11	31
13	12	31
14	12	29
15	13	28
16	14	27
17	14	26
18	15	25
19	16	24
20	16	23
21	17	22
22	17	21
23	18	20
24	19	19
25	19	18
26	20	17
27	21	16
28	21	15
29	22	14
30	22	13
31	23	13
32	23	12
33	24	11
34	24	10
35	25	9
36	25	9
37	26	8
38	26	7
39	27	6
40	27	6
41	28	5
42	28	4
43	29	3
44	29	3
45	30	2
46	30	1
47	31	1
48	31	0
49	32	0
